α	alpha
κόκκινος	scarlet
κόκκος	seed
κολάζω	to punish
κολακεία	flattery
κόλασις	punishment
Κολασσαεύς	Colossian
Κολασσαί	Colosse
κολαφίζω	to strike with the fists
κολλάω	(mid.) to join
κολλούριον	eye salve
κολλυβιστής	money exchanger
κολοβόω	to cut short
Κολοσσαεύς	Colossian
Κολοσσαί	Colosse
κόλπος	lap area: side
κολυμβάω	to swim
κολυμβήθρα	pool
κολωνία	Roman colony
κομάω	to have long hair
κομίζω	(act.) to bring
κομψότερον	better
κονιάω	(pass.) to be whitewashed
κονιορτός	dust
κοπάζω	to die down
κοπετός	mourning
κοπή	defeat
κοπιάω	to work
κόπος	labor
κοπρία	manure pile
κόπριον	fertilizer
κόπρος	dung
κόπτω	to cut
κόραξ	raven
κοράσιον	(little) girl
κορβᾶν	Corban
κορβανᾶς	temple treasury
Κόρε	Korah
κορέννυμι	(pass.) to be filled to the full
Κορίνθιος	Corinthian
Κόρινθος	Corinth
Κορνήλιος	Cornelius
κόρος	cor (dry measure between ten and twelve bushels)
κοσμέω	to make beautiful
κοσμικός	earthly
κόσμιος	respectable
κοσμοκράτωρ	(pl.) powers of the world
κόσμος	world: earth
Κούαρτος	Quartus
κοῦμ	koum (Aramaic: stand up!)
κοῦμι	koumi (Aramaic: stand up!)
κουστωδία	guard
κουφίζω	to lighten
κόφινος	basket of various sizes and considered typical of the Jews
κράβαττος	bed
κράββατος	bed
κράζω	call out
κραιπάλη	dissipation
κρανίον	skull
κράσπεδον	edge
κραταιός	mighty
κραταιόω	(pass.) to be strong
κρατέω	to arrest
κράτιστος	most excellent
κράτος	power
κραυγάζω	to shout
κραυγή	crying out
κρέας	meat
κρείσσων	better
κρείττων	better
κρεμάννυμι	to hang on
κρημνός	steep bank
Κρής	Cretan
Κρήσκης	Crescens
Κρήτη	Crete
κριθή	barley
κρίθινος	made of barley (flour)
κρίμα	judgment
κρίνον	lily
κρίνω	to decide
κρίσις	judgment (human or divine)
Κρίσπος	Crispus
κριτήριον	court of law
κριτής	judge
κριτικός	able to discern or judge
κρούω	to knock (on a gate or door)
κρύπτη	hidden place
κρυπτός	hidden
κρύπτω	to hide
κρυσταλλίζω	to be clear as crystal
κρύσταλλος	rock crystal
κρυφαῖος	hidden
κρυφῇ	in secret
κρύφιος	hidden
κτάομαι	to get
κτῆμα	wealth
κτῆνος	(domestic) animal: donkey
κτήτωρ	(land) owner
κτίζω	to create
κτίσις	creation
κτίσμα	creature
κτίστης	Creator
κυβεία	cunning
κυβέρνησις	administration
κυβερνήτης	sea captain
κυκλεύω	to surround
κυκλόθεν	(all) around
κυκλόω	to surround: gather around
κύκλῳ	all around
κύλισμα	wallowing
κυλισμός	wallowing
κυλίω	(mid.) to roll around
κυλλός	crippled
κῦμα	waves
κύμβαλον	cymbal
κύμινον	cummin
κυνάριον	(little or domesticated) dog
Κύπριος	from Cyprus
Κύπρος	Cyprus
κύπτω	to stoop down
Κυρηναῖος	from Cyrene
Κυρήνη	Cyrene
Κυρήνιος	Quirinius
κυρία	lady (female <i>lord</i>)
κυριακός	pertaining to the Lord
κυριεύω	to lord over
κύριος	lord
κυριότης	authority
κυρόω	to reaffirm
κύων	dog
κῶλον	dead body
κωλύω	to hinder
κώμη	(long) hair
κωμόπολις	village
κῶμος	orgy
κώνωψ	gnat
Κώς	Cos
Κωσάμ	Cosam
κωφός	unable to talk or speak
λαγχάνω	to choose by lot
Λάζαρος	Lazarus
λάθρᾳ	secretly
λαῖλαψ	storm
λακάω	to burst open
λακτίζω	to kick
λαλέω	to speak
λαλιά	speech
λαμά	lama (Hebrew: why?)
λαμβάνω	to take
Λάμεχ	Lamech
λαμπάς	lamp
λαμπρότης	brightness
λαμπρῶς	bright
λάμπω	to give light
λανθάνω	to keep secret
λαξευτός	cut in rock
Λαοδίκεια	Laodicea
Λαοδικεύς	Laodicean
λαός	people
λάρυγξ	throat
Λασαία	Lasea
Λασέα	Lasea
λάσκω	to burst open
λατομέω	to cut
λατρεία	worship
λατρεύω	to serve
λάχανον	plant
Λεββαῖος	Lebbaeus
λεγιών	legion
λέγω	say
λεῖμμα	remnant
λεῖος	smooth
λείπω	to lack
λειτουργέω	to perform religious duties
λειτουργία	religious service
λειτουργικός	ministering
λειτουργός	servant
λείχω	to lick
Λέκτρα	Lectra
λεμά	lama (Aramaic: why?)
λέντιον	towel
λεπίς	scale
λέπρα	leprosy
λεπρός	leprous
λεπτός	very small copper coin
Λευί	Levi
Λευίς	Levi
Λευίτης	Levite
Λευιτικός	Levitical
λευκαίνω	to bleach
λευκοβύσσινος	white linen
λευκός	white
λέων	lion
λήθη	forgetfulness
λῆμψις	receiving
ληνός	winepress
λῆρος	nonsense
λῃστής	robber
λῆψις	receiving
λίαν	very much
λίβανος	frankincense
λιβανωτός	censer (bowl for burning incense)
Λιβερτῖνος	Freedman
Λιβύη	Libya
Λιβυστῖνος	Libyan
λιθάζω	to stone
λίθινος	made of stone
λιθοβολέω	to throw stones
λίθος	stone
λιθόστρωτος	(n.) stone pavement
λικμάω	to crush
λιμήν	harbor
λίμνη	lake
λιμός	hunger
λίνον	linen (garment)
Λίνος	Linus
λιπαρός	costly
λίτρα	(Roman) pound (about 12 oz. or 327 gr.)
λίψ	southwest
λογεία	collection
λογίζομαι	to credit
λογικός	spiritual
λόγιον	(pl.) words
λόγιος	learned
λογισμός	thought
λογομαχέω	to quarrel about words
λογομαχία	quarrel about words
λόγος	word
λόγχη	spear
λοιδορέω	to insult
λοιδορία	insult
λοίδορος	slanderer
λοιμός	pestilence
λοιπός	remaining
Λουκᾶς	Luke
Λούκιος	Lucius
λουτρόν	washing
λούω	to wash
Λύδδα	Lydda
Λυδία	Lydia
Λυκαονία	Lycaonia
Λυκαονιστί	in (the) Lycaonian (language)
Λυκία	Lycia
λύκος	wolf
λυμαίνω	to destroy
λυπέω	(act.) to cause sorrow
λύπη	sorrow
Λυσανίας	Lysanias
Λυσίας	Lysias
λύσις	divorce
λυσιτελέω	to be advantageous
Λύστρα	Lystra
λύτρον	ransom
λυτρόω	to redeem
λύτρωσις	redemption
λυτρωτής	deliverer
λυχνία	lampstand (not a candlestick)
λύχνος	lamp
λύω	to loose
Λωΐς	Lois
Λώτ	Lot
Μάαθ	Maath
Μαγαδάν	Magadan
Μαγδαλά	Magdala
Μαγδαληνή	Magdalene
Μαγε(δ)δών	Megiddo
μαγεία	magic
μαγεύω	to practice sorcery
μάγος	sorcerer
Μαγώγ	Magog
Μαδιάμ	Midian
μαζός	breast
μαθητεύω	(act./tr.) to teach
μαθητής	disciple
μαθήτρια	(female) disciple
Μαθθαῖος	Matthew
Μαθθάτ	Matthat
Μαθθίας	Matthias
Μαθουσάλα	Methuselah
Μαι&νάν	Mainan
μαίνομαι	to rave
μακαρίζω	to call blessed
μακάριος	blessed (receiving God's favor)
μακαρισμός	blessedness
Μακεδονία	Macedonia
Μακεδών	Macedonian
μάκελλον	meat market
μακράν	far away
μακρόθεν	from a distance
μακροθυμέω	to have patience
μακροθυμία	patience
μακροθύμως	patiently
μακρός	lengthy
μακροχρόνιος	pertaining to having a long life
μαλακία	sickness
μαλακός	fine
Μαλελεήλ	Mahalalel
μάλιστα	especially
μᾶλλον	more
Μάλχος	Malchus
μάμμη	grandmother
μαμωνᾶς	wealth
Μαναήν	Manaen
Μανασσῆς	Manasseh
μανθάνω	to learn
μανία	insanity
μάννα	manna
μαντεύομαι	to fortune-tell
μαραίνω	(pass.) to fade away
μαράνα θά	maranatha (Aramaic: <i>Come
μαργαρίτης	pearl
Μάρθα	Martha
Μαρία	Mary
Μαριάμ	Mary
Μᾶρκος	Mark
μάρμαρος	marble
μαρτυρέω	to testify
μαρτυρία	testimony
μαρτύριον	testimony
μαρτύρομαι	to testify
μάρτυς	witness
μασάομαι	to gnaw
μασθός	breast
μαστιγόω	to flog
μαστίζω	to flog
μάστιξ	flogging device
μαστός	breast
ματαιολογία	meaningless talk
ματαιολόγος	(n.) idle talker
μάταιος	worthless
ματαιότης	emptiness
ματαιόω	(pass.) to become futile
μάτην	in vain
Ματθαῖος	Matthew
Ματθάν	Matthan
Ματθάτ	Mathat
Ματθίας	Matthias
Ματταθά	Mattatha
Ματταθίας	Mattathias
μάχαιρα	(short) sword
μάχη	quarrel
μάχομαι	to fight
μεγαλαυχέω	to become proud
μεγαλεῖος	(pl. n.) wonders
μεγαλειότης	majesty
μεγαλοπρεπής	majestic
μεγαλύνω	to glorify
μεγάλως	greatly
μεγαλωσύνη	majesty
μέγας	great
μέγεθος	greatness
μεγιστάν	great man
μέγιστος	very great
μεθερμηνεύω	to translate
μέθη	drunkenness
μεθίστημι	to move
μεθοδεία	scheming
μεθόριον	boundary
μεθύσκω	(pass.) to be or become drunk
μέθυσος	drunkard
μεθύω	to get drunk
μείγνυμι	to mix
μειζότερος	greater
μείζων	greater
μέλας	the color black
Μελεά	Melea
μέλει	(imper.) it is a care
μελετάω	to plot
μέλι	honey
μελίσσιος	pertaining to the bee
Μελίτη	Malta
μέλλω	to be about to
μέλος	part
Μελχί	Melki
Μελχισέδεκ	Melchizedek
μεμβράνα	parchment
μέμφομαι	to find fault with
μεμψίμοιρος	fault-finding
μέμψις	a reason for complaint
Μεννά	Menna
μενοῦν	rather
μενοῦνγε	rather
μέντοι	but
μένω	to stay
μερίζω	to give
μέριμνα	worry
μεριμνάω	to worry
μερίς	district
μερισμός	dividing
μεριστής	arbiter
μεσάζω	to be in the middle
μεσημβρία	(of time) noon
μεσιτεύω	to confirm
μεσίτης	mediator
μεσονύκτιον	midnight
Μεσοποταμία	Mesopotamia
μέσος	middle
μεσότοιχον	dividing wall
μεσουράνημα	midair
μεσόω	to be halfway through
Μεσσίας	Messiah
μεστός	full
μεστόω	(pass.) to be filled
μετά	(gen.) with
μεταβαίνω	to go on
μεταβάλλω	(mid.) to change one's mind
μετάγω	to turn
μεταδίδωμι	to impart
μετάθεσις	removal
μεταίρω	to move on
μετακαλέω	(mid.) to send for
μετακινέω	(pass.) to be moved
μεταλαμβάνω	to share in
μετάλημψις	receiving
μεταλλάσσω	to exchange
μεταμέλομαι	(mid.) to regret
μεταμορφόω	(pass.) to be transformed
μετανοέω	to repent
μετάνοια	change of mind
μεταξύ	(spacial) between
μεταπέμπω	to summon
μεταστρέφω	to pervert
μετασχηματίζω	(act.) to transform
μετατίθημι	to change (from one place or position to another)
μετατρέπω	(pass.) to be changed
μεταφυτεύω	to transplant
μετέπειτα	afterward
μετέχω	to share in
μετεωρίζομαι	to worry about
μετοικεσία	exile
μετοικίζω	to send to another place
μετοχή	something in common
μέτοχος	sharing in
μετρέω	to measure
μετρητής	measure (about nine or ten gallons)
μετριοπαθέω	to deal gently
μετρίως	not greatly
μέτρον	measure
μέτωπον	forehead
μέχρι	until
μέχρις	until
μή	no
μήγε	not
μηδαμῶς	surely not
μηδέ	nor
μηδείς	no one
μηδέποτε	never
μηδέπω	not yet
Μῆδος	Mede
μηκέτι	no longer
μῆκος	length
μηκύνω	(pass.) to grow (long)
μηλωτή	sheepskin
μήν	often untranslated
μηνύω	to inform
μήποτε	never
μήπου	lest
μήπω	not yet
μήπως	so that...somehow
μηρός	part
μήτε	and not
μήτηρ	mother
μήτι	often not translated
μήτιγε	how much more
μήτρα	womb
μητραλῴας	one who kills a mother
μητρολῴας	one who kills a mother
μητρόπολις	capital city
μιαίνω	to pollute
μίασμα	corruption
μιασμός	corruption
μίγμα	mixture
μίγνυμι	to mix
μικρός	little
Μίλητος	Miletus
μίλιον	(Roman) mile (about 4
μιμέομαι	to imitate
μιμητής	imitator
μιμνῄσκομαι	to remember
μισέω	to hate
μισθαποδοσία	reward
μισθαποδότης	rewarder
μίσθιος	hired worker
μισθός	wage
μισθόω	to hire
μίσθωμα	rented house
μισθωτός	hired worker
Μιτυλήνη	Mitylene
Μιχαήλ	Michael
μνᾶ	mina (100 drachmas or denarii
μνάομαι	be engaged
Μνάσων	Mnason
μνεία	remembrance
μνῆμα	(burial) tomb
μνημεῖον	tomb
μνήμη	remembrance
μνημονεύω	to remember
μνημόσυνον	memory
μνηστεύω	(pass.) to be pledged to marriage
μογγιλάλος	pertaining to speaking in a hoarse or weak voice
μογιλάλος	hardly able to talk
μόγις	scarcely ever
μόδιος	large bowl (holds about eight dry quarts)
μοιχαλίς	adulteress
μοιχάω	to commit adultery
μοιχεία	(the state or condition of) adultery
μοιχεύω	(act.) to commit adultery
μοιχός	adulterer
μόλις	with difficulty
Μολόχ	Molech
μολύνω	to defile
μολυσμός	contamination
μομφή	grievance
μονή	room
μονογενής	one and only
μόνον	only
μόνος	only
μονόφθαλμος	one-eyed
μονόω	(pass.) to be left alone
μορφή	form
μορφόω	(pass.) to be formed
μόρφωσις	embodiment
μοσχοποιέω	to make an idol in the shape of a calf
μόσχος	calf
μουσικός	(n.) musician
μόχθος	toil
μυελός	marrow
μυέω	(pass.) to learn a secret
μῦθος	myth
μυκάομαι	to roar
μυκτηρίζω	(pass.) to be mocked
μυλικός	pertaining to a grinding mill
μύλινος	pertaining to a grinding mill
μύλος	hand mill or millstone for grinding
μυλών	millhouse
μυλωνικός	pertaining to the millhouse
Μύρα	Myra
μυριάς	myriad
μυρίζω	to pour perfume
μύριοι	ten thousand
μυρίος	pertaining to the number ten thousand
μύρον	perfume
Μυσία	Mysia
μυστήριον	mystery
μυωπάζω	to be nearsighted
μώλωψ	wound
μωμάομαι	(mid.) to criticize
μῶμος	blemish
μωραίνω	(act.) to make foolish
μωρία	foolishness
μωρολογία	foolish talk
μωρός	foolish
Μωσεώς	Moses
Μωσῆς	Moses
Μωϋσῆς	Moses
Ναασσών	Nahshon
Ναγγαί	Naggai
Ναζαρά	Nazareth
Ναζαρέθ	Nazareth
Ναζαρέτ	Nazareth
Ναζαρηνός	of Nazareth
Ναζωραῖος	Nazarene
Ναθάμ	Nathan
Ναθαναήλ	Nathanael
ναί	yes
Ναιμάν	Naaman
Ναΐν	Nain
ναός	temple
Ναούμ	Nahum
νάρδος	nard
Νάρκισσος	Narcissus
ναυαγέω	to be shipwrecked
ναύκληρος	ship owner or captain
ναῦς	ship
ναύτης	sailor
Ναχώρ	Nahor
Νέα πολις	Neapolis
νεανίας	young man
νεανίσκος	young man
Νεεμάν	Naaman
νεκρός	dead (can be used physically or fig.
νεκρόω	(act.) to put to death
νέκρωσις	death
νεομηνία	New Moon Celebration
νέος	new
νεοσσός	the young (of a bird)
νεότης	youth
νεόφυτος	newly converted
Νέρων	Nero
Νεύης	Neues
νεύω	to motion
νεφέλη	cloud
Νεφθαλίμ	Naphtali
νέφος	cloud
νεφρός	mind
νεωκόρος	guardian of the temple
νεωτερικός	pertaining to youth
νή	as surely as
νήθω	to spin (yarn)
νηπιάζω	to be (like) a child
νήπιος	(n.) child
Νηρεύς	Nereus
Νηρί	Neri
νησίον	small island
νῆσος	island
νηστεία	fasting
νηστεύω	to fast
νῆστις	hungry
νηφαλέος	temperate (in the use of alcohol)
νηφάλιος	temperate (in the use of alcohol)
νήφω	to be self-controlled
Νίγερ	Niger
Νικάνωρ	Nicanor
νικάω	to overcome
νίκη	victory
Νικόδημος	Nicodemus
Νικολαΐτης	Nicolaitan
Νικόλαος	Nicolas
Νικόπολις	Nicopolis
νῖκος	victory
Νινευή	Nineveh
Νινευι&v	Nineveh
Νινευίτης	Ninevite
νιπτήρ	basin for washing
νίπτω	to wash
νοέω	to understand
νόημα	thought
νόθος	illegitimate
νομή	pasture
νομίζω	to think
νομικός	pertaining to the law
νομίμως	properly
νόμισμα	coin
νομοδιδάσκαλος	teacher of the law
νομοθεσία	law
νομοθετέω	(pass.) to be given law
νομοθέτης	lawgiver
νόμος	law
νοσέω	to be unhealthy
νόσημα	disease
νόσος	disease
νοσσιά	chick
νοσσίον	young (of a bird)
νοσσός	young (of a bird)
νοσφίζω	(mid.) to hold back for oneself
νουθεσία	warning
νουθετέω	to warn
νουμηνία	New Moon Celebration
νουνεχῶς	wisely
νοῦς	mind
Νύμφα	Nympha
νύμφη	bride
νυμφίος	bridegroom
νυμφών	bridegroom
νῦν	now
νυνί	now
νύξ	night
νύσσω	to pierce
νυστάζω	to become drowsy
νυχθήμερον	a night and a day
Νῶε	Noah
νωθρός	slow to learn
νῶτος	south
ξαίνω	to comb (wool)
ξενία	place to stay
ξενίζω	to receive a guest
ξενοδοχέω	to show hospitality
ξένος	strange
ξέστης	pitcher
ξηραίνω	to wither
ξηρός	dried up
ξύλινος	made of wood
ξύλον	wood
ξυράω	to have one's hair shaved
ὁ	(often not translated) the
ὀ;λέθριος	deadly
ὀγδοήκοντα	eighty
ὄγδοος	eighth
ὄγκος	hinderance
ὁδεύω	to travel
ὁδηγέω	to lead
ὁδηγός	guide
ὁδοιπορέω	to be on a journey
ὁδοιπορία	journey
ὁδός	road
ὀδούς	tooth
ὀδυνάω	to grieve
ὀδύνη	anguish
ὀδυρμός	deep sorrow
Ὀζίας	Uzziah
ὄζω	to give off a bad odor
ὅθεν	from where
ὀθόνη	linen sheet
ὀθόνιον	(pl.) strips of linen
οἶδα	to know
οἰκεῖος	belonging to the household
οἰκετεία	servant in a household
οἰκέτης	house servant
οἰκέω	to live
οἴκημα	cell
οἰκητήριον	dwelling
οἰκία	house
οἰκιακός	member of a household
οἰκοδεσποτέω	to manage one's home
οἰκοδεσπότης	head or owner of the house
οἰκοδομέω	to build
οἰκοδομή	building
οἰκοδομία	edification
οἰκοδόμος	builder
οἰκονομέω	to manage
οἰκονομία	management
οἰκονόμος	manager
οἶκος	house
οἰκουμένη	the (inhabited) world
οἰκουργός	busy at home
οἰκουρός	staying at home
οἰκτείρω	to have compassion on
οἰκτιρμός	compassion
οἰκτίρμων	merciful
οἰκτίρω	to have compassion on
οἶμαι	to think
οἰνοπότης	drunkard
οἶνος	wine
οἰνοφλυγία	drunkenness
οἴομαι	to suppose
οἷος	what sort of
ὀκνέω	to delay
ὀκνηρός	lazy
ὀκταήμερος	eighth day
ὀκτώ	eight
ὄλεθρος	destruction
ὀλιγοπιστία	littleness of faith
ὀλιγόπιστος	of little faith
ὀλιγόψυχος	timid
ὀλιγωρέω	to make light of
ὀλίγως	little
ὀλοθρευτής	destroyer
ὀλοθρεύω	to destroy
ὁλοκαύτωμα	burnt offering
ὁλοκληρία	completeness
ὁλόκληρος	whole
ὀλολύζω	to wail
ὁλοτελής	through and through
Ὀλυμπᾶς	Olympas
ὄλυνθος	late fig
ὅλως	all
ὄμβρος	rainstorm (that may include thunder and lightning)
ὁμείρομαι	to love
ὁμιλέω	to talk
ὁμιλία	company
ὅμιλος	crowd
ὁμίχλη	mist
ὄμμα	eye
ὄμνυμι	to swear
ὀμνύω	to declare an oath
ὁμοθυμαδόν	united
ὁμοιάζω	to be like
ὁμοιοπαθής	like
ὁμοιότης	similarity
ὁμοιόω	to make like
ὁμοίωμα	likeness
ὁμοίως	like
ὁμοίωσις	likeness
ὁμολογέω	to confess
ὁμολογία	confession
ὁμολογουμένως	beyond all question
ὁμόσε	together
ὁμότεχνος	of the same trade
ὁμοῦ	together
ὁμόφρων	living in harmony with
ὅμως	just as
ὄναρ	dream
ὀνάριον	young donkey
ὀνειδίζω	to heap insults on
ὀνειδισμός	disgrace
ὄνειδος	disgrace
Ὀνήσιμος	Onesimus
Ὀνησίφορος	Onesiphorus
ὀνικός	pertaining to a donkey
ὀνίνημι	to have benefit or joy
ὄνομα	name
ὀνομάζω	to give a name
ὄνος	donkey (female or male)
ὄντως	really
ὄξος	wine vinegar
ὀξύς	sharp
ὀπή	hole
ὄπισθεν	from behind
ὀπίσω	behind
ὁπλίζω	(mid.) to arm oneself with
ὅπλον	instrument
ὁποῖος	what kind of
ὁπότε	when
ὅπου	where
ὀπτάνομαι	(mid.) to appear
ὀπτασία	(supernatural) vision
ὀπτός	broiled
ὀπώρα	fruit
ὅπως	that
ὅραμα	(supernatural) vision
ὅρασις	appearance
ὁρατός	pertaining to things visible
ὁράω	to see
ὀργή	wrath
ὀργίζω	(mid./pass.) to be angry
ὀργίλος	quick-tempered
ὀργυιά	fathom (about six feet)
ὀρέγω	(mid.) to set one's heart on
ὀρεινός	hilly
ὄρεξις	lust
ὀρθοποδέω	to act in line with (the truth)
ὀρθοτομέω	to handle correctly
ὀρθρίζω	to get up early in the morning
ὀρθρινός	early in the morning
ὄρθριος	early in the morning
ὄρθρος	dawn
ὀρθῶς	straight
ὁρίζω	to determine
ὅριον	region
ὁρκίζω	to command
ὅρκος	oath
ὁρκωμοσία	oath
ὁρμάω	to rush (as in a stampede)
ὁρμή	plot
ὅρμημα	sudden violence
ὄρνεον	bird
ὄρνις	hen
ὁροθεσία	exact place
ὄρος	hill
ὀρύσσω	to dig up
ὀρφανός	(n.) an orphan
ὀρχέομαι	to dance
ὁσάκις	as often as
ὁσιότης	holiness
ὁσίως	holy
ὀσμή	fragrance
ὅσος	how great
ὀστέον	bone
ὅστις	who
ὀστοῦν	bone
ὀστράκινος	made of clay
ὄσφρησις	sense of smell
ὀσφῦς	waist
ὅταν	when
ὅτε	when
ὅτι	that
οὐ	no
οὗ	where
οὐά	so!
οὐαί	woe!
οὐδαμῶς	by no means
οὐδέ	and not
οὐδείς	no one
οὐδέποτε	never
οὐδέπω	not yet
οὐθείς	no one
οὐκέτι	no longer
οὐκοῦν	so
οὖν	therefore
οὔπω	not yet
οὐρά	tail
οὐράνιος	heavenly
οὐρανόθεν	from heaven
οὐρανός	sky
Οὐρβανός	Urbanus
Οὐρίας	Uriah
οὖς	ear
οὐσία	wealth
οὔτε	and not
οὕτως	this
οὐχί	not
ὀφειλέτης	debtor
ὀφειλή	debt
ὀφείλημα	debt
ὀφείλω	to owe
ὄφελον	How I wish! How I hope!
ὄφελος	good
ὀφθαλμοδουλία	eye-service
ὀφθαλμός	eye
ὄφις	snake
ὀφρῦς	eyebrow
ὀχετός	drain
ὀχλέω	(pass.) to be tormented
ὀχλοποιέω	to form a mob
ὄχλος	crowd
Ὀχοζίας	Ahaziah
ὀχύρωμα	stronghold
ὀψάριον	(small) fish
ὀψέ	in the evening
ὀψία	evening
ὄψιμος	late (in the season
ὄψιος	late
ὄψις	face
ὀψώνιον	pay
παγιδεύω	to trap
παγίς	trap
πάγος	hill
πάθημα	suffering
παθητός	subject to suffering
πάθος	lust
παιδαγωγός	guardian
παιδάριον	little boy
παιδεία	discipline
παιδευτής	instructor
παιδεύω	instruct
παιδιόθεν	from childhood
παιδίον	child
παιδίσκη	female servant
παιδόθεν	from childhood
παίζω	to indulge in revelry
παῖς	boy
παίω	to strike
Πακατιανός	Pacatian
πάλαι	long ago
παλαιός	old
παλαιότης	the old way
παλαιόω	(act.) to make obsolete
πάλη	struggle
παλιγγενεσία	renewal
πάλιν	again
παμπληθεί	with one voice
πάμπολυς	very great
Παμφυλία	Pamphylia
πανδοχεῖον	inn
πανδοχεύς	innkeeper
πανήγυρις	joyful assembly
πανοικεί	with one's whole family
πανοπλία	full armor
πανουργία	cunning
πανοῦργος	crafty
πανταχῇ	everywhere
πανταχόθεν	from every direction
πανταχοῦ	everywhere
παντελής	complete
πάντῃ	in every way
πάντοθεν	from all directions
παντοκράτωρ	Almighty
πάντοτε	always
πάντως	surely
παρά	(gen.) from
παραβαίνω	to break
παραβάλλω	to come near (by ship)
παράβασις	transgression
παραβάτης	lawbreaker
παραβιάζομαι	to urge strongly
παραβολεύομαι	to risk
παραβολή	parable
παραβουλεύομαι	to be careless
παραγγελία	order
παραγγέλλω	to order
παραγίνομαι	to come
παράγω	to pass by
παραδειγματίζω	to subject to public disgrace
παράδεισος	paradise
παραδέχομαι	to accept
παραδιατριβή	useless occupation
παραδίδωμι	to hand over
παράδοξος	remarkable
παράδοσις	tradition
παραζηλόω	to make envious
παραθαλάσσιος	by the lake
παραθεωρέω	(pass.) to be overlooked
παραθήκη	deposit
παραινέω	to warn
παραιτέομαι	to request
παρακαθέζομαι	to sit beside
παρακαθίζω	to sit down beside
παρακαλέω	to ask
παρακαλύπτω	(pass.) to be hidden
παρακαταθήκη	deposit
παράκειμαι	to be present
παράκλησις	encouragement
παράκλητος	counselor
παρακοή	disobedience
παρακολουθέω	to follow
παρακούω	to refuse to listen
παρακύπτω	to bend over
παραλαμβάνω	to take with
παραλέγομαι	to sail past
παράλιος	(located) by the sea
παραλλαγή	change
παραλογίζομαι	to deceive
παραλυτικός	(n.) paralytic
παραλύω	(pass.) to be paralyzed
παραμένω	to continue
παραμυθέομαι	to comfort
παραμυθία	comfort
παραμύθιον	comfort
παρανομέω	to violate the law
παρανομία	wrongdoing
παραπικραίνω	to rebel
παραπικρασμός	rebellion
παραπίπτω	to fall away
παραπλέω	to sail past
παραπλησίως	(adv.) almost
παραπορεύομαι	to pass by
παράπτωμα	trespass
παραρρέω	to drift away
παράσημος	distinguished
παρασκευάζω	(act.) to prepare
παρασκευή	Preparation Day
παραστάτις	supporter
παρατείνω	to keep on
παρατηρέω	to watch closely
παρατήρησις	careful observation
παρατίθημι	(act.) to set before
παρατυγχάνω	to happen to be there
παραυτίκα	(a.) momentary
παραφέρω	to take away
παραφρονέω	to be out of one's mind
παραφρονία	madness
παραφροσύνη	madness
παραχειμάζω	to spend the winter
παραχειμασία	spending the winter
παραχράομαι	to misuse
παραχρῆμα	immediately
πάρδαλις	leopard
παρεδρεύω	to serve regularly
πάρειμι	to be present
παρεισάγω	to bring in secretly
παρείσακτος	brought in secretly
παρεισδύω	to slip in secretly
παρεισέρχομαι	to come in
παρεισφέρω	to do one's best
παρεκτός	(adv.) besides
παρεμβάλλω	to build
παρεμβολή	camp
παρενοχλέω	to make difficult
παρεπίδημος	(n.) stranger
παρέρχομαι	to go by
πάρεσις	leaving unpunished
παρέχω	to present
παρηγορία	comfort
παρθενία	virginity
παρθένος	virgin (male and female)
Πάρθοι	Parthian
παρίημι	to leave undone
παριστάνω	see <a href="S:παρίστημι"/>παρίστημι</a>
παρίστημι	to place beside
Παρμενᾶς	Parmenas
πάροδος	passing by
παροικέω	to live as a stranger
παροικία	residence as a stranger
πάροικος	strange
παροιμία	figure of speech
πάροινος	drunken
παροίχομαι	to pass by
παρομοιάζω	to be like
παρόμοιος	like
παροξύνω	(intr.) to be greatly distressed
παροξυσμός	sharp disagreement
παροργίζω	to anger
παροργισμός	anger
παροτρύνω	to incite
παρουσία	presence
παροψίς	dish
παρρησία	boldness
παρρησιάζομαι	to speak boldly
πᾶς	all
πάσχα	Passover
πάσχω	to experience
Πάταρα	Patara
πατάσσω	to hit
πατέω	to trample on
πατήρ	father
Πάτμος	Patmos
πατραλῴας	one who kills one's father
πατριά	family
πατριάρχης	patriarch
πατρικός	paternal
πατρίς	hometown
Πατροβᾶς	Patrobas
πατρολῴας	one who kills one's father
πατροπαράδοτος	handed down from forefathers
πατρῷος	ancestral
Παῦλος	Paul
παύω	(act.) to cause to stop
Πάφος	Paphos
παχύνω	to become calloused of heart
πέδη	foot shackle
πεδινός	level
πεζεύω	to go on foot
πεζῇ	on foot
πεζός	on foot
πειθαρχέω	to obey
πειθός	persuasive
πείθω	to convince
πεινάω	to be hungry
πεῖρα	to try to do
πειράζω	to test
πειρασμός	test
πειράω	to try
πεισμονή	persuasion
πέλαγος	open sea
πελεκίζω	to behead
πέμπτος	fifth
πέμπω	to send
πένης	poor
πενθερά	mother-in-law
πενθερός	father-in-law
πενθέω	to mourn
πένθος	mourning
πενιχρός	poor
πεντάκις	five times
πεντακισχίλιοι	five thousand
πεντακόσιοι	five hundred
πέντε	five
πεντεκαιδέκατος	fifteenth
πεντήκοντα	fifty
πεντηκοστή	Pentecost
πεποίθησις	confidence
περ	an affix for various kinds of emphasis
Πέραια	Peraea
περαιτέρω	further
πέραν	on the other side
πέρας	end
Πέργαμος	Pergamum
Πέργη	Perga
περί	(gen.) about
